Hostel Names,1Sharing-Non-AC,1Sharing-AC,1Sharing-AC,1Sharing-AC,2Sharing-Non-AC,2Sharing-AC,2Sharing-AC,3Sharing-Non-AC,3Sharing-AC,4Sharing-Non-AC,4Sharing-AC
,Common Washrooms,Common Washroom,Attached Toilet Shared,Attached Toilet,Common Washroom,Common Washrooms,Attached Toilet Shared,Common Washroom,Common Washroom,Common Washroom,Common Washroom
Agira Hall,49000,-,,,43500,,,,,,
Amritam Hall,-,56500,,,,53500,,,,,
Prithvi Hall,-,-,,,,53500,,,47000,,
Vasudha Hall,-,56500,,,,53500,,,47000,,42100
Vasudha Hall,-,56500,,,,,,,47000,,42100
Vyan Hall,-,-,,,43500,,,37500,47000,32600,42100
Ira Hall,49000,56500,,,,,,37500,47000,,
Tejas Hall,49000,,,,43500,,,37500,,32600,
Ambaram Hall,-,-,,,43500,53500,,,,,
Viyat Hall,-,-,,,,53500,,,,,
Anantam Hall,-,,65000,75000,,,58000,,,,
Ananta Hall,-,,65000,75000,,,58000,,,,
Vyom Hall,-,-,,,,,58000,,,,
Hostel FRF/FRG,49000,-,,,43500,53500,,,,,
Vahni Hall,-,-,,,,,58000,,,,
Neeram Hall,-,,,,,,58000,,,,
